# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -735.727 -19203.4 18467.6 0 0 0 0 0.09 0 0 -0.00259883 -0.0072967 -9.62047e-05
2 -1229.37 -19203.4 17974 0 0 0 0 0.09 0 0 -0.00121674 -0.0080455 -3.19366e-05
3 -1693.09 -19203.4 17510.3 0 0 0 0 0.09 0 0 0.000221959 -0.0088647 5.29468e-05
4 -2136.06 -19203.4 17067.3 0 0 0 0 0.09 0 0 0.00174123 -0.00976282 0.000167187
5 -2564.51 -19203.4 16638.9 0 0 0 0 0.09 0 0 0.00335565 -0.0107484 0.000305076
6 -2983.63 -19203.4 16219.7 0 0 0 0 0.09 0 0 0.00505122 -0.0117796 0.000465217
7 -3395.42 -19203.4 15807.9 0 0 0 0 0.09 0 0 0.00684362 -0.0128379 0.000626177
8 -3805.56 -19203.4 15397.8 0 0 0 0 0.09 0 0 0.00873975 -0.0139465 0.000824405
9 -4217.9 -19203.4 14985.5 0 0 0 0 0.09 0 0 0.0106847 -0.01511 0.00104196
10 -4633.5 -19203.4 14569.9 0 0 0 0 0.09 0 0 0.0126604 -0.0163468 0.00124984
11 -5053.75 -19203.4 14149.6 0 0 0 0 0.09 0 0 0.0147367 -0.0176101 0.00147388
12 -5474.56 -19203.4 13728.8 0 0 0 0 0.09 0 0 0.0169016 -0.0189408 0.0016801
13 -5894.19 -19203.4 13309.2 0 0 0 0 0.09 0 0 0.0190877 -0.0203041 0.00183894
14 -6314.35 -19203.4 12889 0 0 0 0 0.09 0 0 0.0213691 -0.0217068 0.00202268
15 -6733.94 -19203.4 12469.4 0 0 0 0 0.09 0 0 0.0237616 -0.0231956 0.00222059
16 -7150.07 -19203.4 12053.3 0 0 0 0 0.09 0 0 0.026259 -0.0247745 0.00243689
17 -7561.34 -19203.4 11642 0 0 0 0 0.09 0 0 0.0288769 -0.0264113 0.00262806
18 -7967.12 -19203.4 11236.3 0 0 0 0 0.09 0 0 0.0315409 -0.0281337 0.00281035
19 -8361.57 -19203.4 10841.8 0 0 0 0 0.09 0 0 0.0342148 -0.0297798 0.00308415
20 -8746.33 -19203.4 10457 0 0 0 0 0.09 0 0 0.0367883 -0.0314207 0.00332855
21 -9124.01 -19203.4 10079.4 0 0 0 0 0.09 0 0 0.0393473 -0.0330314 0.0035503
22 -9494.98 -19203.4 9708.39 0 0 0 0 0.09 0 0 0.0418179 -0.0346168 0.00372681
23 -9858.7 -19203.4 9344.67 0 0 0 0 0.09 0 0 0.0443288 -0.0362555 0.00390913
24 -10211.3 -19203.4 8992.04 0 0 0 0 0.09 0 0 0.0469099 -0.037921 0.00410018
25 -10550.7 -19203.4 8652.66 0 0 0 0 0.09 0 0 0.0495308 -0.0395627 0.00425146
26 -10877.1 -19203.4 8326.27 0 0 0 0 0.09 0 0 0.052051 -0.0412457 0.00440837
27 -11188.7 -19203.4 8014.66 0 0 0 0 0.09 0 0 0.0544617 -0.042915 0.00455
28 -11486.7 -19203.4 7716.67 0 0 0 0 0.09 0 0 0.0568273 -0.0445939 0.00478903
29 -11767.8 -19203.4 7435.55 0 0 0 0 0.09 0 0 0.0590811 -0.0461864 0.00507901
