# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1429.19 -46003.6 44574.4 0.11 0.109988 0.331662 0.331645 0.05 0 0 0.00472088 -0.0105979 0.00048217
2 -2515.42 -46003.6 43488.2 0.11 0.109975 0.331662 0.331624 0.05 0 0 0.00297544 -0.00862647 0.0023726
3 -3423.21 -46003.6 42580.4 0.11 0.10999 0.331662 0.331647 0.05 0 0 0.000799782 -0.00920389 -0.00142087
4 -4111.43 -46003.6 41892.2 0.11 0.110012 0.331662 0.33168 0.05 0 0 0.00190676 -0.00986307 -0.00160602
5 -4788.61 -46003.6 41215 0.11 0.109987 0.331662 0.331643 0.05 0 0 0.00443454 -0.00977755 -0.00550303
6 -5348.35 -46003.6 40655.3 0.11 0.110014 0.331662 0.331684 0.05 0 0 0.00265183 -0.00985343 -0.00532651
7 -5847.47 -46003.6 40156.1 0.11 0.110013 0.331662 0.331682 0.05 0 0 0.00245335 -0.00524182 -0.00677907
8 -6283.7 -46003.6 39719.9 0.11 0.109995 0.331662 0.331655 0.05 0 0 0.00224806 -0.00801939 -0.00536966
9 -6683.92 -46003.6 39319.7 0.11 0.110018 0.331662 0.331689 0.05 0 0 0.00183892 -0.00899541 -0.00639705
10 -7143.38 -46003.6 38860.2 0.11 0.110009 0.331662 0.331675 0.05 0 0 0.0035098 -0.00810161 -0.00844109
11 -7543.06 -46003.6 38460.6 0.11 0.109999 0.331662 0.331661 0.05 0 0 0.00335274 -0.0106644 -0.0111228
12 -7882.26 -46003.6 38121.4 0.11 0.110038 0.331662 0.331719 0.05 0 0 0.00447832 -0.00897809 -0.0112674
13 -8148.16 -46003.6 37855.5 0.11 0.11001 0.331662 0.331677 0.05 0 0 0.00498695 -0.0114522 -0.0114573
14 -8392.92 -46003.6 37610.7 0.11 0.110033 0.331662 0.331713 0.05 0 0 0.00681344 -0.00916246 -0.0099227
15 -8626.13 -46003.6 37377.5 0.11 0.10999 0.331662 0.331647 0.05 0 0 0.0101418 -0.0062912 -0.0123959
16 -8731.17 -46003.6 37272.4 0.11 0.109996 0.331662 0.331656 0.05 0 0 0.0113193 -0.00770158 -0.0117972
17 -8933.67 -46003.6 37069.9 0.11 0.110043 0.331662 0.331727 0.05 0 0 0.01261 -0.0092462 -0.0094719
18 -9143.81 -46003.6 36859.8 0.11 0.110001 0.331662 0.331665 0.05 0 0 0.0144642 -0.00793309 -0.00633447
19 -9283.83 -46003.6 36719.8 0.11 0.110012 0.331662 0.331681 0.05 0 0 0.0111529 -0.00751871 -0.00656859
20 -9441.93 -46003.6 36561.7 0.11 0.109989 0.331662 0.331645 0.05 0 0 0.0131612 -0.00380833 -0.00659225
21 -9563.52 -46003.6 36440.1 0.11 0.110008 0.331662 0.331674 0.05 0 0 0.0169226 -0.00354283 -0.00694266
22 -9833.99 -46003.6 36169.6 0.11 0.110003 0.331662 0.331666 0.05 0 0 0.0224249 -0.00180353 -0.00616568
23 -10103.4 -46003.6 35900.2 0.11 0.109988 0.331662 0.331645 0.05 0 0 0.0226965 -0.000403687 -0.00841812
24 -10381.9 -46003.6 35621.8 0.11 0.109977 0.331662 0.331628 0.05 0 0 0.0241967 0.000919389 -0.00937225
25 -10612.5 -46003.6 35391.1 0.11 0.109998 0.331662 0.33166 0.05 0 0 0.0242192 -0.00332563 -0.0101562
26 -10759.9 -46003.6 35243.8 0.11 0.110003 0.331662 0.331666 0.05 0 0 0.025115 -0.00233233 -0.00898849
27 -11016.1 -46003.6 34987.5 0.11 0.109986 0.331662 0.331642 0.05 0 0 0.0277258 -0.00173047 -0.00788296
28 -11150.8 -46003.6 34852.9 0.11 0.110006 0.331662 0.331672 0.05 0 0 0.028408 -0.0011498 -0.00974888
29 -11343.5 -46003.6 34660.2 0.11 0.109987 0.331662 0.331643 0.05 0 0 0.0321385 -5.34042e-05 -0.0109882
30 -11517.5 -46003.6 34486.1 0.11 0.110004 0.331662 0.331668 0.05 0 0 0.0353935 -0.00114901 -0.0152588
31 -11619.7 -46003.6 34383.9 0.11 0.109995 0.331662 0.331655 0.05 0 0 0.0387513 -0.00109945 -0.0156029
32 -11771.8 -46003.6 34231.8 0.11 0.110003 0.331662 0.331667 0.05 0 0 0.0370865 -0.00248589 -0.0133931
33 -11913.7 -46003.6 34089.9 0.11 0.110008 0.331662 0.331675 0.05 0 0 0.039482 0.000227024 -0.0120475
34 -12119.4 -46003.6 33884.2 0.11 0.109997 0.331662 0.331658 0.05 0 0 0.0420526 9.44845e-07 -0.00990674
35 -12202.1 -46003.6 33801.5 0.11 0.110011 0.331662 0.331679 0.05 0 0 0.0438805 -0.00152028 -0.00819108
36 -12403.2 -46003.6 33600.4 0.11 0.109983 0.331662 0.331638 0.05 0 0 0.0462529 -0.00157501 -0.00899691
37 -12533.4 -46003.6 33470.2 0.11 0.110006 0.331662 0.331672 0.05 0 0 0.0459026 0.000842189 -0.0090964
38 -12655.5 -46003.6 33348.1 0.11 0.109985 0.331662 0.331639 0.05 0 0 0.0475429 5.36679e-05 -0.00592745
39 -12796.5 -46003.6 33207.1 0.11 0.110002 0.331662 0.331665 0.05 0 0 0.0523791 -0.00302208 -0.00791315
40 -12957.3 -46003.6 33046.4 0.11 0.109998 0.331662 0.33166 0.05 0 0 0.051845 -0.000858814 -0.0105374
41 -12984.8 -46003.6 33018.8 0.11 0.109986 0.331662 0.331642 0.05 0 0 0.0500453 -0.00232685 -0.0124391
42 -13159.3 -46003.6 32844.4 0.11 0.110023 0.331662 0.331697 0.05 0 0 0.0506934 -0.00127448 -0.015354
43 -13288.7 -46003.6 32714.9 0.11 0.110018 0.331662 0.33169 0.05 0 0 0.0541595 -0.00132917 -0.0170112
44 -13372.9 -46003.6 32630.7 0.11 0.10999 0.331662 0.331648 0.05 0 0 0.0548317 -0.00339553 -0.0205815
45 -13503.8 -46003.6 32499.8 0.11 0.110004 0.331662 0.331668 0.05 0 0 0.0531128 -0.00245742 -0.0220506
46 -13557.4 -46003.6 32446.2 0.11 0.109991 0.331662 0.331649 0.05 0 0 0.0559747 -0.00407057 -0.0230478
47 -13529.8 -46003.6 32473.8 0.11 0.110025 0.331662 0.331701 0.05 0 0 0.0561322 -0.00480223 -0.0251561
48 -13597.9 -46003.6 32405.7 0.11 0.110001 0.331662 0.331663 0.05 0 0 0.0548366 -0.00328087 -0.0259121
49 -13639.9 -46003.6 32363.7 0.11 0.109991 0.331662 0.331649 0.05 0 0 0.0560307 -0.00401186 -0.0247888
