# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -736.076 -19068.8 18332.7 0 0 0 0 0.05 0 0 -0.00336785 -0.00729599 -9.72421e-05
2 -1229.51 -19068.8 17839.2 0 0 0 0 0.05 0 0 -0.00281367 -0.00804492 -3.53243e-05
3 -1692.96 -19068.8 17375.8 0 0 0 0 0.05 0 0 -0.00226565 -0.00886494 4.8843e-05
4 -2135.54 -19068.8 16933.2 0 0 0 0 0.05 0 0 -0.00170014 -0.00976237 0.000161442
5 -2563.62 -19068.8 16505.1 0 0 0 0 0.05 0 0 -0.00110025 -0.0107514 0.000297808
6 -2982.17 -19068.8 16086.6 0 0 0 0 0.05 0 0 -0.000483816 -0.0117854 0.00045256
7 -3393.27 -19068.8 15675.5 0 0 0 0 0.05 0 0 0.000169309 -0.0128472 0.000605342
8 -3802.89 -19068.8 15265.9 0 0 0 0 0.05 0 0 0.000845544 -0.0139687 0.000792315
9 -4214.75 -19068.8 14854 0 0 0 0 0.05 0 0 0.00153047 -0.0151337 0.000991378
10 -4629.85 -19068.8 14438.9 0 0 0 0 0.05 0 0 0.00218348 -0.0163637 0.00120248
11 -5048.92 -19068.8 14019.8 0 0 0 0 0.05 0 0 0.00285865 -0.0176229 0.0014154
12 -5469.12 -19068.8 13599.6 0 0 0 0 0.05 0 0 0.00358644 -0.0189602 0.00161517
13 -5887.53 -19068.8 13181.2 0 0 0 0 0.05 0 0 0.00429129 -0.0203257 0.00178279
14 -6306.14 -19068.8 12762.6 0 0 0 0 0.05 0 0 0.0050333 -0.0216885 0.00192408
15 -6723.8 -19068.8 12345 0 0 0 0 0.05 0 0 0.00584015 -0.0231687 0.00211008
16 -7137.48 -19068.8 11931.3 0 0 0 0 0.05 0 0 0.00672535 -0.0247505 0.00232547
17 -7546.58 -19068.8 11522.2 0 0 0 0 0.05 0 0 0.00769118 -0.0263935 0.00248675
18 -7950.7 -19068.8 11118.1 0 0 0 0 0.05 0 0 0.00871904 -0.0281087 0.00265735
19 -8345.52 -19068.8 10723.2 0 0 0 0 0.05 0 0 0.00967855 -0.0297808 0.00289927
20 -8729.63 -19068.8 10339.1 0 0 0 0 0.05 0 0 0.0105224 -0.0314171 0.00312522
21 -9107.68 -19068.8 9961.08 0 0 0 0 0.05 0 0 0.0112792 -0.0330661 0.00332025
22 -9478.92 -19068.8 9589.83 0 0 0 0 0.05 0 0 0.0119821 -0.0346572 0.00346697
23 -9840.1 -19068.8 9228.65 0 0 0 0 0.05 0 0 0.0126687 -0.0362782 0.0036125
24 -10190.6 -19068.8 8878.14 0 0 0 0 0.05 0 0 0.0134394 -0.0379273 0.00379118
25 -10529 -19068.8 8539.72 0 0 0 0 0.05 0 0 0.0142375 -0.0395519 0.00391886
26 -10857.4 -19068.8 8211.39 0 0 0 0 0.05 0 0 0.0150059 -0.041211 0.00404964
27 -11170.1 -19068.8 7898.68 0 0 0 0 0.05 0 0 0.0156701 -0.0429114 0.00411868
28 -11468.3 -19068.8 7600.49 0 0 0 0 0.05 0 0 0.0163008 -0.0445479 0.00429683
29 -11750.1 -19068.8 7318.66 0 0 0 0 0.05 0 0 0.0169101 -0.0461353 0.00449764
30 -12015.8 -19068.8 7052.97 0 0 0 0 0.05 0 0 0.0175362 -0.0477194 0.00460121
31 -12264.8 -19068.8 6803.98 0 0 0 0 0.05 0 0 0.0181003 -0.0493 0.0046773
32 -12497.8 -19068.8 6570.99 0 0 0 0 0.05 0 0 0.0186844 -0.0508862 0.00465074
33 -12718.3 -19068.8 6350.46 0 0 0 0 0.05 0 0 0.0192576 -0.0524571 0.00458737
34 -12927.6 -19068.8 6141.17 0 0 0 0 0.05 0 0 0.0198583 -0.0539822 0.00454858
35 -13125.3 -19068.8 5943.45 0 0 0 0 0.05 0 0 0.0205448 -0.0554804 0.00447017
36 -13311.8 -19068.8 5757 0 0 0 0 0.05 0 0 0.0212947 -0.0569909 0.00441303
37 -13487.8 -19068.8 5581 0 0 0 0 0.05 0 0 0.0220062 -0.0585573 0.00435426
38 -13654.4 -19068.8 5414.4 0 0 0 0 0.05 0 0 0.0227272 -0.0601248 0.00430296
39 -13811.4 -19068.8 5257.37 0 0 0 0 0.05 0 0 0.0234617 -0.0617039 0.00424413
40 -13959.5 -19068.8 5109.23 0 0 0 0 0.05 0 0 0.0242445 -0.0632828 0.00422584
41 -14099 -19068.8 4969.79 0 0 0 0 0.05 0 0 0.0251071 -0.0648318 0.00420124
42 -14230.1 -19068.8 4838.62 0 0 0 0 0.05 0 0 0.0260381 -0.0663142 0.00418912
43 -14353.2 -19068.8 4715.56 0 0 0 0 0.05 0 0 0.0269885 -0.0677498 0.00420193
44 -14469 -19068.8 4599.71 0 0 0 0 0.05 0 0 0.0279698 -0.0691467 0.00424759
45 -14579.5 -19068.8 4489.3 0 0 0 0 0.05 0 0 0.0289469 -0.0705067 0.00429107
46 -14683 -19068.8 4385.79 0 0 0 0 0.05 0 0 0.0299324 -0.0717757 0.00433348
47 -14782.1 -19068.8 4286.65 0 0 0 0 0.05 0 0 0.0309313 -0.0730081 0.00433734
48 -14874.9 -19068.8 4193.9 0 0 0 0 0.05 0 0 0.0319197 -0.0741992 0.00432954
49 -14962.4 -19068.8 4106.34 0 0 0 0 0.05 0 0 0.0329314 -0.0753795 0.00430522
50 -15046.2 -19068.8 4022.58 0 0 0 0 0.05 0 0 0.0339668 -0.0765616 0.00428736
51 -15125.9 -19068.8 3942.85 0 0 0 0 0.05 0 0 0.0350062 -0.0777679 0.00429543
52 -15202.9 -19068.8 3865.82 0 0 0 0 0.05 0 0 0.0360508 -0.0789723 0.00429951
53 -15277.3 -19068.8 3791.44 0 0 0 0 0.05 0 0 0.0370947 -0.0801632 0.00430933
54 -15349 -19068.8 3719.78 0 0 0 0 0.05 0 0 0.038126 -0.0813416 0.00432682
55 -15417.8 -19068.8 3650.96 0 0 0 0 0.05 0 0 0.0391629 -0.0824919 0.00433555
56 -15483.5 -19068.8 3585.29 0 0 0 0 0.05 0 0 0.0402166 -0.0836174 0.00435235
57 -15546.5 -19068.8 3522.28 0 0 0 0 0.05 0 0 0.0412786 -0.0847228 0.00436864
58 -15607.4 -19068.8 3461.37 0 0 0 0 0.05 0 0 0.0423551 -0.0858316 0.00439097
59 -15666.2 -19068.8 3402.56 0 0 0 0 0.05 0 0 0.043434 -0.0869322 0.00443193
60 -15723.2 -19068.8 3345.51 0 0 0 0 0.05 0 0 0.044525 -0.0880248 0.00449225
61 -15778 -19068.8 3290.79 0 0 0 0 0.05 0 0 0.0456266 -0.0891083 0.00456471
62 -15829.8 -19068.8 3238.95 0 0 0 0 0.05 0 0 0.0467327 -0.0901794 0.00465005
63 -15879.9 -19068.8 3188.88 0 0 0 0 0.05 0 0 0.0478374 -0.0912269 0.00473881
64 -15928.1 -19068.8 3140.61 0 0 0 0 0.05 0 0 0.0489405 -0.0922668 0.00485164
65 -15974.4 -19068.8 3094.32 0 0 0 0 0.05 0 0 0.0500517 -0.0932944 0.00499284
66 -16018.7 -19068.8 3050.07 0 0 0 0 0.05 0 0 0.0511737 -0.0943099 0.00515642
