# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1546.18 -46161.9 44615.8 0.01 0.0099951 0.1 0.0999755 0.07 0 0 0.00423087 -0.0103133 -0.000570353
2 -2806.2 -46161.9 43355.7 0.01 0.0100033 0.1 0.100016 0.07 0 0 0.00623939 -0.0110381 -0.00144356
3 -3955.99 -46161.9 42205.9 0.01 0.00999586 0.1 0.0999793 0.07 0 0 0.00701685 -0.0117098 -0.00153746
4 -5038.05 -46161.9 41123.9 0.01 0.00999776 0.1 0.0999888 0.07 0 0 0.00818738 -0.011074 -0.00106988
5 -6050.14 -46161.9 40111.8 0.01 0.0100008 0.1 0.100004 0.07 0 0 0.00967369 -0.0119647 -0.00152503
6 -7043.85 -46161.9 39118.1 0.01 0.00999818 0.1 0.0999909 0.07 0 0 0.0122026 -0.0119891 -0.00282443
7 -7999.5 -46161.9 38162.4 0.01 0.0100025 0.1 0.100012 0.07 0 0 0.0146461 -0.0125209 -0.00283254
8 -8937.43 -46161.9 37224.5 0.01 0.0100116 0.1 0.100058 0.07 0 0 0.0164636 -0.0142238 -0.00365144
9 -9902.51 -46161.9 36259.4 0.01 0.00999719 0.1 0.099986 0.07 0 0 0.0175679 -0.0152715 -0.00394667
10 -10838 -46161.9 35323.9 0.01 0.00999753 0.1 0.0999876 0.07 0 0 0.0195055 -0.0164561 -0.00397935
11 -11783.2 -46161.9 34378.8 0.01 0.00999962 0.1 0.0999981 0.07 0 0 0.0215479 -0.0169417 -0.0042509
12 -12717.6 -46161.9 33444.3 0.01 0.0100069 0.1 0.100035 0.07 0 0 0.0231666 -0.0177631 -0.00436649
13 -13672.7 -46161.9 32489.2 0.01 0.00999669 0.1 0.0999835 0.07 0 0 0.0253452 -0.0183182 -0.00421838
14 -14617.1 -46161.9 31544.9 0.01 0.00999455 0.1 0.0999728 0.07 0 0 0.0279463 -0.01943 -0.00509968
15 -15533.8 -46161.9 30628.1 0.01 0.0099949 0.1 0.0999745 0.07 0 0 0.0299965 -0.0200066 -0.00469261
16 -16456.6 -46161.9 29705.3 0.01 0.0100033 0.1 0.100017 0.07 0 0 0.0322274 -0.0199931 -0.00508091
17 -17365.1 -46161.9 28796.8 0.01 0.0100016 0.1 0.100008 0.07 0 0 0.0341021 -0.0210697 -0.00525967
18 -18286.3 -46161.9 27875.6 0.01 0.0100014 0.1 0.100007 0.07 0 0 0.0372146 -0.0226311 -0.00535487
19 -19167.5 -46161.9 26994.4 0.01 0.0100031 0.1 0.100015 0.07 0 0 0.0403141 -0.0245138 -0.00502373
20 -20020.9 -46161.9 26141.1 0.01 0.0100015 0.1 0.100007 0.07 0 0 0.0429566 -0.0264739 -0.00617452
