# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1469.99 -46236 44766 0.06 0.0599977 0.244949 0.244944 0.08 0 0 0.00107067 -0.0111524 -0.002945
2 -2584.7 -46236 43651.3 0.06 0.0600193 0.244949 0.244988 0.08 0 0 0.00194796 -0.0103929 -0.00607223
3 -3540.92 -46236 42695.1 0.06 0.0599949 0.244949 0.244939 0.08 0 0 0.00524494 -0.0102757 -0.00639772
4 -4439.36 -46236 41796.6 0.06 0.0600105 0.244949 0.24497 0.08 0 0 0.00873486 -0.0102479 -0.00460837
5 -5294.19 -46236 40941.8 0.06 0.060007 0.244949 0.244963 0.08 0 0 0.0114609 -0.00992506 -0.00335637
6 -6076.38 -46236 40159.6 0.06 0.0599925 0.244949 0.244934 0.08 0 0 0.0151134 -0.0117573 -0.00317619
7 -6748.73 -46236 39487.3 0.06 0.059996 0.244949 0.244941 0.08 0 0 0.0181561 -0.0138741 -0.00442896
8 -7452.5 -46236 38783.5 0.06 0.0600008 0.244949 0.244951 0.08 0 0 0.0206777 -0.0134258 -0.00454053
9 -8100.95 -46236 38135 0.06 0.0599858 0.244949 0.24492 0.08 0 0 0.0228879 -0.0149715 -0.00502366
10 -8706.09 -46236 37529.9 0.06 0.0600086 0.244949 0.244967 0.08 0 0 0.023632 -0.0141257 -0.00591905
11 -9226.18 -46236 37009.8 0.06 0.0600067 0.244949 0.244963 0.08 0 0 0.0291796 -0.0154881 -0.00653766
12 -9837.44 -46236 36398.5 0.06 0.0599976 0.244949 0.244944 0.08 0 0 0.0318369 -0.0177349 -0.00678749
13 -10364.1 -46236 35871.9 0.06 0.0599968 0.244949 0.244942 0.08 0 0 0.0341452 -0.0197856 -0.00719342
14 -10867.2 -46236 35368.7 0.06 0.0600052 0.244949 0.24496 0.08 0 0 0.0360995 -0.021578 -0.00899819
15 -11411.5 -46236 34824.5 0.06 0.0600043 0.244949 0.244958 0.08 0 0 0.0372811 -0.0234664 -0.00740064
16 -11888.4 -46236 34347.6 0.06 0.0599985 0.244949 0.244946 0.08 0 0 0.0399562 -0.0229791 -0.00896338
17 -12379.9 -46236 33856.1 0.06 0.06 0.244949 0.244949 0.08 0 0 0.0425678 -0.0241135 -0.012004
18 -12909.1 -46236 33326.9 0.06 0.0599742 0.244949 0.244896 0.08 0 0 0.0452621 -0.024078 -0.0118828
19 -13452.7 -46236 32783.3 0.06 0.0599932 0.244949 0.244935 0.08 0 0 0.0496632 -0.0284513 -0.0123066
20 -13957.7 -46236 32278.3 0.06 0.0599997 0.244949 0.244948 0.08 0 0 0.0530523 -0.0329852 -0.0108253
21 -14432.5 -46236 31803.5 0.06 0.0600073 0.244949 0.244964 0.08 0 0 0.0572849 -0.0349096 -0.0145133
22 -14917.9 -46236 31318.1 0.06 0.0599961 0.244949 0.244941 0.08 0 0 0.060786 -0.0342012 -0.0145536
23 -15364.1 -46236 30871.9 0.06 0.0600114 0.244949 0.244972 0.08 0 0 0.0653431 -0.0339125 -0.0133105
24 -15834.7 -46236 30401.3 0.06 0.0600213 0.244949 0.244992 0.08 0 0 0.0679043 -0.0328186 -0.0133737
25 -16250.8 -46236 29985.2 0.06 0.0600174 0.244949 0.244985 0.08 0 0 0.0703667 -0.0353199 -0.0129671
26 -16707.5 -46236 29528.5 0.06 0.059986 0.244949 0.24492 0.08 0 0 0.0742358 -0.0369356 -0.0164498
27 -17103 -46236 29133 0.06 0.0600136 0.244949 0.244977 0.08 0 0 0.0748077 -0.0393223 -0.0164669
28 -17576 -46236 28659.9 0.06 0.060008 0.244949 0.244965 0.08 0 0 0.0775023 -0.0382718 -0.0158658
29 -17942.8 -46236 28293.2 0.06 0.0600096 0.244949 0.244969 0.08 0 0 0.0782471 -0.0366865 -0.0163064
30 -18316.4 -46236 27919.6 0.06 0.0599912 0.244949 0.244931 0.08 0 0 0.0803911 -0.0355732 -0.0167989
31 -18641.8 -46236 27594.2 0.06 0.0599936 0.244949 0.244936 0.08 0 0 0.0839957 -0.0352706 -0.0150814
32 -18983.2 -46236 27252.8 0.06 0.0599966 0.244949 0.244942 0.08 0 0 0.0839204 -0.0365562 -0.0154123
33 -19376.3 -46236 26859.6 0.06 0.060016 0.244949 0.244982 0.08 0 0 0.0869865 -0.0382553 -0.0159674
34 -19708 -46236 26527.9 0.06 0.0600026 0.244949 0.244954 0.08 0 0 0.0894413 -0.0398825 -0.0135566
35 -20017.4 -46236 26218.6 0.06 0.0599852 0.244949 0.244919 0.08 0 0 0.0921851 -0.0404591 -0.0141743
36 -20284.5 -46236 25951.5 0.06 0.0599877 0.244949 0.244924 0.08 0 0 0.0919903 -0.041401 -0.0154265
37 -20534.6 -46236 25701.4 0.06 0.0600169 0.244949 0.244984 0.08 0 0 0.0953925 -0.0425059 -0.0162946
