# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1448.47 -46402.2 44953.7 0.11 0.110026 0.331662 0.331702 0.1 0 0 0.00344455 -0.00864688 0.00136398
2 -2608.53 -46402.2 43793.6 0.11 0.110008 0.331662 0.331675 0.1 0 0 0.00451125 -0.0107766 -0.0003163
3 -3504.49 -46402.2 42897.7 0.11 0.110005 0.331662 0.33167 0.1 0 0 0.00572197 -0.0101577 -0.000314273
4 -4242.99 -46402.2 42159.2 0.11 0.109998 0.331662 0.331659 0.1 0 0 0.00894755 -0.0120936 0.000431111
5 -4950.89 -46402.2 41451.3 0.11 0.109987 0.331662 0.331643 0.1 0 0 0.0120677 -0.0135477 -0.00247883
6 -5593.42 -46402.2 40808.8 0.11 0.110015 0.331662 0.331685 0.1 0 0 0.014111 -0.0143306 -0.00281785
7 -6158.48 -46402.2 40243.7 0.11 0.109983 0.331662 0.331637 0.1 0 0 0.016548 -0.0157891 -0.00406309
8 -6553.74 -46402.2 39848.4 0.11 0.110002 0.331662 0.331666 0.1 0 0 0.0182047 -0.0148681 -0.00705064
9 -6952.69 -46402.2 39449.5 0.11 0.110003 0.331662 0.331668 0.1 0 0 0.0178388 -0.0146393 -0.005136
10 -7275.36 -46402.2 39126.8 0.11 0.110013 0.331662 0.331682 0.1 0 0 0.0199862 -0.0162937 -0.00317538
11 -7675.68 -46402.2 38726.5 0.11 0.109998 0.331662 0.331659 0.1 0 0 0.0212423 -0.0193703 -0.00467676
12 -7914.72 -46402.2 38487.5 0.11 0.110019 0.331662 0.33169 0.1 0 0 0.0197621 -0.0194948 -0.00249179
13 -8158.3 -46402.2 38243.9 0.11 0.110002 0.331662 0.331665 0.1 0 0 0.0235702 -0.0214469 -0.00100688
14 -8426.05 -46402.2 37976.1 0.11 0.11001 0.331662 0.331677 0.1 0 0 0.0254257 -0.0253404 0.00225853
15 -8721.37 -46402.2 37680.8 0.11 0.110012 0.331662 0.331681 0.1 0 0 0.0277185 -0.0277727 0.000581221
16 -9004.21 -46402.2 37398 0.11 0.109971 0.331662 0.331619 0.1 0 0 0.0310011 -0.0281751 -0.00167305
17 -9249.42 -46402.2 37152.8 0.11 0.109998 0.331662 0.33166 0.1 0 0 0.0346352 -0.0326739 -0.00169599
18 -9556.62 -46402.2 36845.6 0.11 0.110009 0.331662 0.331677 0.1 0 0 0.035803 -0.034185 -0.00188462
19 -9729.81 -46402.2 36672.4 0.11 0.110004 0.331662 0.331669 0.1 0 0 0.0361204 -0.0352313 -0.001646
20 -9989.76 -46402.2 36412.4 0.11 0.110012 0.331662 0.33168 0.1 0 0 0.0393347 -0.0350824 -0.00414498
21 -10303.7 -46402.2 36098.5 0.11 0.110004 0.331662 0.331668 0.1 0 0 0.0443458 -0.0362357 -0.00292097
22 -10595.2 -46402.2 35807 0.11 0.109974 0.331662 0.331624 0.1 0 0 0.0474774 -0.0375129 -0.00206439
23 -10848.2 -46402.2 35554 0.11 0.109998 0.331662 0.33166 0.1 0 0 0.0490686 -0.0413222 -0.00120661
24 -11011.3 -46402.2 35390.9 0.11 0.109986 0.331662 0.331642 0.1 0 0 0.0527077 -0.0456135 -0.00181835
25 -11175.9 -46402.2 35226.3 0.11 0.11001 0.331662 0.331677 0.1 0 0 0.0521226 -0.0444864 -0.0061818
26 -11335.6 -46402.2 35066.6 0.11 0.110008 0.331662 0.331675 0.1 0 0 0.0535823 -0.0437001 -0.00441263
27 -11526.4 -46402.2 34875.8 0.11 0.109997 0.331662 0.331658 0.1 0 0 0.0569237 -0.0473814 -0.00479377
28 -11661.1 -46402.2 34741.1 0.11 0.109992 0.331662 0.331651 0.1 0 0 0.0585694 -0.0484772 -0.00301514
29 -11770.3 -46402.2 34631.9 0.11 0.10999 0.331662 0.331648 0.1 0 0 0.0632669 -0.0479632 -0.00321675
30 -11863.5 -46402.2 34538.7 0.11 0.110017 0.331662 0.331688 0.1 0 0 0.0669991 -0.0489508 -0.0020142
31 -12048.8 -46402.2 34353.4 0.11 0.10996 0.331662 0.331603 0.1 0 0 0.0680742 -0.0494124 -0.00152118
32 -12301.8 -46402.2 34100.4 0.11 0.109961 0.331662 0.331604 0.1 0 0 0.0674092 -0.0506806 -0.00182919
