# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1541.37 -46402.2 44860.8 0.06 0.0600048 0.244949 0.244959 0.1 0 0 0.00387661 -0.00838646 -0.00188383
2 -2687.14 -46402.2 43715 0.06 0.0599937 0.244949 0.244936 0.1 0 0 0.00820381 -0.00978651 -0.00379859
3 -3691.11 -46402.2 42711.1 0.06 0.0600054 0.244949 0.24496 0.1 0 0 0.0114615 -0.00861171 -0.0052348
4 -4578.73 -46402.2 41823.4 0.06 0.0599769 0.244949 0.244902 0.1 0 0 0.0130102 -0.00884235 -0.00521695
5 -5389.13 -46402.2 41013 0.06 0.0599914 0.244949 0.244931 0.1 0 0 0.014495 -0.00955388 -0.00375336
6 -6121.92 -46402.2 40280.3 0.06 0.0599899 0.244949 0.244928 0.1 0 0 0.015672 -0.0104524 -0.00466173
7 -6867.7 -46402.2 39534.5 0.06 0.059981 0.244949 0.24491 0.1 0 0 0.0173404 -0.0116613 -0.00663236
8 -7481.95 -46402.2 38920.2 0.06 0.0600024 0.244949 0.244954 0.1 0 0 0.0186324 -0.0131857 -0.00764721
9 -8101.75 -46402.2 38300.4 0.06 0.0599957 0.244949 0.24494 0.1 0 0 0.0205125 -0.014186 -0.00904035
10 -8728.63 -46402.2 37673.5 0.06 0.0599964 0.244949 0.244942 0.1 0 0 0.0246308 -0.0121742 -0.012337
11 -9331.23 -46402.2 37070.9 0.06 0.0600049 0.244949 0.244959 0.1 0 0 0.0273722 -0.0118026 -0.0134165
12 -9892.53 -46402.2 36509.6 0.06 0.0599711 0.244949 0.24489 0.1 0 0 0.0318116 -0.0113739 -0.0137122
13 -10488 -46402.2 35914.2 0.06 0.0600148 0.244949 0.244979 0.1 0 0 0.03341 -0.0118636 -0.0118297
14 -11016.6 -46402.2 35385.6 0.06 0.0599956 0.244949 0.24494 0.1 0 0 0.0387887 -0.0128714 -0.0121536
15 -11511.5 -46402.2 34890.7 0.06 0.0599979 0.244949 0.244945 0.1 0 0 0.04038 -0.0117778 -0.00924658
16 -12049.9 -46402.2 34352.3 0.06 0.0599812 0.244949 0.244911 0.1 0 0 0.0421628 -0.0121038 -0.0105732
17 -12553.9 -46402.2 33848.3 0.06 0.0600317 0.244949 0.245014 0.1 0 0 0.0456781 -0.0121149 -0.0106752
18 -13043.3 -46402.2 33358.8 0.06 0.0599953 0.244949 0.244939 0.1 0 0 0.0515599 -0.010866 -0.0105214
19 -13638.5 -46402.2 32763.7 0.06 0.0600008 0.244949 0.244951 0.1 0 0 0.0562994 -0.0119828 -0.0109852
20 -14123.5 -46402.2 32278.7 0.06 0.060024 0.244949 0.244998 0.1 0 0 0.0582213 -0.0128643 -0.0115542
21 -14620.2 -46402.2 31782 0.06 0.0600159 0.244949 0.244981 0.1 0 0 0.0612271 -0.0117629 -0.0131736
22 -15117.4 -46402.2 31284.8 0.06 0.0600161 0.244949 0.244982 0.1 0 0 0.0634493 -0.0132012 -0.0131114
23 -15608.7 -46402.2 30793.5 0.06 0.0600044 0.244949 0.244958 0.1 0 0 0.0665986 -0.018515 -0.0135587
24 -16011.1 -46402.2 30391.1 0.06 0.0599815 0.244949 0.244911 0.1 0 0 0.0700712 -0.0190551 -0.0132386
25 -16392 -46402.2 30010.1 0.06 0.0599889 0.244949 0.244926 0.1 0 0 0.0726936 -0.0206401 -0.0133557
26 -16829 -46402.2 29573.1 0.06 0.0600111 0.244949 0.244972 0.1 0 0 0.078806 -0.021818 -0.0138261
27 -17327.7 -46402.2 29074.5 0.06 0.0599953 0.244949 0.244939 0.1 0 0 0.0819156 -0.0217301 -0.0165292
28 -17793.3 -46402.2 28608.9 0.06 0.0599752 0.244949 0.244898 0.1 0 0 0.0871155 -0.0235919 -0.0149301
29 -18113.8 -46402.2 28288.4 0.06 0.0599782 0.244949 0.244904 0.1 0 0 0.0872066 -0.0259315 -0.0182264
30 -18484.2 -46402.2 27918 0.06 0.0600076 0.244949 0.244965 0.1 0 0 0.0907771 -0.0258429 -0.0175877
31 -18854.2 -46402.2 27548 0.06 0.0599895 0.244949 0.244928 0.1 0 0 0.0908672 -0.0279046 -0.0198338
32 -19260.7 -46402.2 27141.4 0.06 0.0600164 0.244949 0.244982 0.1 0 0 0.0941876 -0.0270518 -0.0190255
33 -19404 -46402.2 26998.2 0.06 0.0599828 0.244949 0.244914 0.1 0 0 0.0964653 -0.0262187 -0.0188377
34 -19794.5 -46402.2 26607.6 0.06 0.0600057 0.244949 0.244961 0.1 0 0 0.0997626 -0.0268386 -0.0208804
35 -20100.3 -46402.2 26301.9 0.06 0.0600115 0.244949 0.244972 0.1 0 0 0.100341 -0.0283533 -0.0221674
36 -20503.2 -46402.2 25898.9 0.06 0.0600042 0.244949 0.244957 0.1 0 0 0.104163 -0.0260895 -0.0226472
37 -20867.2 -46402.2 25535 0.06 0.0600016 0.244949 0.244952 0.1 0 0 0.108949 -0.0266764 -0.0253136
38 -21105.4 -46402.2 25296.8 0.06 0.0599869 0.244949 0.244922 0.1 0 0 0.111767 -0.0290906 -0.0263762
39 -21288.1 -46402.2 25114.1 0.06 0.0599909 0.244949 0.24493 0.1 0 0 0.110049 -0.0289607 -0.0247289
40 -21550.4 -46402.2 24851.8 0.06 0.0600023 0.244949 0.244954 0.1 0 0 0.111521 -0.0309552 -0.0257251
41 -21833.5 -46402.2 24568.6 0.06 0.0599932 0.244949 0.244935 0.1 0 0 0.113848 -0.0315188 -0.0292939
42 -22119 -46402.2 24283.2 0.06 0.0599949 0.244949 0.244939 0.1 0 0 0.117247 -0.0324645 -0.0278342
43 -22312.1 -46402.2 24090.1 0.06 0.0600052 0.244949 0.24496 0.1 0 0 0.121006 -0.0306609 -0.0299971
44 -22603.1 -46402.2 23799.1 0.06 0.0599992 0.244949 0.244947 0.1 0 0 0.123343 -0.0298865 -0.0292074
45 -22831.8 -46402.2 23570.4 0.06 0.0600027 0.244949 0.244955 0.1 0 0 0.127672 -0.0293885 -0.0297061
46 -23008.3 -46402.2 23393.9 0.06 0.0599984 0.244949 0.244946 0.1 0 0 0.132076 -0.029053 -0.0310502
47 -23205.8 -46402.2 23196.3 0.06 0.0599961 0.244949 0.244941 0.1 0 0 0.135465 -0.0288372 -0.0320984
48 -23350.7 -46402.2 23051.4 0.06 0.0600037 0.244949 0.244956 0.1 0 0 0.139436 -0.0288465 -0.0314307
49 -23476.8 -46402.2 22925.3 0.06 0.0600031 0.244949 0.244955 0.1 0 0 0.139211 -0.0287805 -0.0318616
50 -23693.7 -46402.2 22708.4 0.06 0.0599839 0.244949 0.244916 0.1 0 0 0.142692 -0.0298961 -0.0302081
51 -23911.8 -46402.2 22490.4 0.06 0.0600173 0.244949 0.244984 0.1 0 0 0.145618 -0.0312085 -0.032603
52 -24043.5 -46402.2 22358.7 0.06 0.0600121 0.244949 0.244974 0.1 0 0 0.149145 -0.0309684 -0.0287245
53 -24206.9 -46402.2 22195.3 0.06 0.0599963 0.244949 0.244941 0.1 0 0 0.152537 -0.0298848 -0.0290626
54 -24386.2 -46402.2 22015.9 0.06 0.0599967 0.244949 0.244942 0.1 0 0 0.155236 -0.0280674 -0.0304537
55 -24530.5 -46402.2 21871.7 0.06 0.0600163 0.244949 0.244982 0.1 0 0 0.159288 -0.0303445 -0.029593
56 -24740.8 -46402.2 21661.4 0.06 0.0600008 0.244949 0.244951 0.1 0 0 0.161198 -0.0282477 -0.0301257
57 -24854 -46402.2 21548.1 0.06 0.0599877 0.244949 0.244924 0.1 0 0 0.165591 -0.0265976 -0.0289098
58 -24909.4 -46402.2 21492.7 0.06 0.0599955 0.244949 0.24494 0.1 0 0 0.167765 -0.0288195 -0.0287364
59 -25168 -46402.2 21234.2 0.06 0.0599986 0.244949 0.244946 0.1 0 0 0.172531 -0.029133 -0.0326373
60 -25260.3 -46402.2 21141.9 0.06 0.0599927 0.244949 0.244934 0.1 0 0 0.178779 -0.0286502 -0.0368495
61 -25406.6 -46402.2 20995.6 0.06 0.0600049 0.244949 0.244959 0.1 0 0 0.183768 -0.0307584 -0.0386191
62 -25526.2 -46402.2 20876 0.06 0.0600008 0.244949 0.244951 0.1 0 0 0.184412 -0.0307562 -0.0382243
63 -25618.3 -46402.2 20783.8 0.06 0.0599996 0.244949 0.244948 0.1 0 0 0.18728 -0.0302005 -0.0352393
64 -25655.4 -46402.2 20746.8 0.06 0.0599942 0.244949 0.244937 0.1 0 0 0.186826 -0.0332846 -0.0352946
65 -25651.2 -46402.2 20751 0.06 0.0599926 0.244949 0.244934 0.1 0 0 0.187745 -0.0317438 -0.0353577
66 -25667.3 -46402.2 20734.9 0.06 0.0599895 0.244949 0.244928 0.1 0 0 0.189341 -0.031297 -0.0346307
67 -25774.6 -46402.2 20627.5 0.06 0.0599974 0.244949 0.244944 0.1 0 0 0.190789 -0.0318343 -0.0369065
68 -25920.9 -46402.2 20481.3 0.06 0.0600137 0.244949 0.244977 0.1 0 0 0.195967 -0.0342555 -0.0360749
69 -26075.6 -46402.2 20326.6 0.06 0.0599992 0.244949 0.244947 0.1 0 0 0.199345 -0.0353995 -0.0371755
70 -26191.9 -46402.2 20210.3 0.06 0.0600168 0.244949 0.244983 0.1 0 0 0.2019 -0.0380524 -0.0353727
71 -26407.7 -46402.2 19994.4 0.06 0.0599933 0.244949 0.244935 0.1 0 0 0.207278 -0.0393707 -0.0342871
72 -26394.4 -46402.2 20007.8 0.06 0.0600059 0.244949 0.244961 0.1 0 0 0.212034 -0.0400098 -0.0343962
73 -26472.9 -46402.2 19929.2 0.06 0.0600165 0.244949 0.244983 0.1 0 0 0.215797 -0.0413982 -0.0337443
74 -26566 -46402.2 19836.2 0.06 0.0600105 0.244949 0.24497 0.1 0 0 0.218737 -0.0399617 -0.0331195
75 -26691.8 -46402.2 19710.4 0.06 0.0599966 0.244949 0.244942 0.1 0 0 0.221853 -0.0391039 -0.0321183
76 -26712.4 -46402.2 19689.8 0.06 0.0600054 0.244949 0.24496 0.1 0 0 0.224408 -0.0408252 -0.0316474
77 -26868.2 -46402.2 19534 0.06 0.0599998 0.244949 0.244949 0.1 0 0 0.227352 -0.0431851 -0.0325987
78 -26965.2 -46402.2 19437 0.06 0.0599823 0.244949 0.244913 0.1 0 0 0.229248 -0.0447259 -0.0322199
79 -27092.3 -46402.2 19309.9 0.06 0.0600026 0.244949 0.244954 0.1 0 0 0.232767 -0.043393 -0.0331294
80 -27108 -46402.2 19294.2 0.06 0.0600017 0.244949 0.244952 0.1 0 0 0.238696 -0.0415256 -0.0347404
81 -27130.3 -46402.2 19271.8 0.06 0.0599955 0.244949 0.24494 0.1 0 0 0.239 -0.0435734 -0.0351781
82 -27191.1 -46402.2 19211 0.06 0.0599851 0.244949 0.244919 0.1 0 0 0.242336 -0.0469727 -0.0356455
83 -27213.6 -46402.2 19188.6 0.06 0.0600188 0.244949 0.244987 0.1 0 0 0.244565 -0.0488847 -0.0354012
84 -27276.4 -46402.2 19125.8 0.06 0.0599923 0.244949 0.244933 0.1 0 0 0.247109 -0.0511358 -0.0351945
85 -27275.1 -46402.2 19127.1 0.06 0.0600117 0.244949 0.244973 0.1 0 0 0.250259 -0.0512761 -0.0397415
86 -27452.5 -46402.2 18949.7 0.06 0.0600202 0.244949 0.24499 0.1 0 0 0.253786 -0.0505886 -0.038368
87 -27469.5 -46402.2 18932.7 0.06 0.0599803 0.244949 0.244909 0.1 0 0 0.254862 -0.0515642 -0.0416612
88 -27567.5 -46402.2 18834.7 0.06 0.0599972 0.244949 0.244943 0.1 0 0 0.258403 -0.0483372 -0.0406473
89 -27540.3 -46402.2 18861.9 0.06 0.0600031 0.244949 0.244955 0.1 0 0 0.262973 -0.0465865 -0.039387
90 -27642.9 -46402.2 18759.3 0.06 0.0600024 0.244949 0.244954 0.1 0 0 0.266331 -0.0471477 -0.0425954
91 -27753.3 -46402.2 18648.8 0.06 0.0600216 0.244949 0.244993 0.1 0 0 0.268982 -0.0480224 -0.0463284
92 -27863.6 -46402.2 18538.6 0.06 0.0599831 0.244949 0.244914 0.1 0 0 0.272376 -0.0489592 -0.0452042
93 -27944.8 -46402.2 18457.4 0.06 0.0600013 0.244949 0.244952 0.1 0 0 0.273866 -0.0481534 -0.044949
94 -27977.8 -46402.2 18424.4 0.06 0.0599915 0.244949 0.244932 0.1 0 0 0.277737 -0.0465873 -0.0433792
95 -28045.9 -46402.2 18356.3 0.06 0.0600092 0.244949 0.244968 0.1 0 0 0.279371 -0.044766 -0.0453528
96 -28171.7 -46402.2 18230.5 0.06 0.059981 0.244949 0.24491 0.1 0 0 0.280727 -0.0419299 -0.0471012
97 -28241.4 -46402.2 18160.7 0.06 0.060006 0.244949 0.244961 0.1 0 0 0.285416 -0.0392496 -0.0518293
98 -28151.8 -46402.2 18250.4 0.06 0.0600073 0.244949 0.244964 0.1 0 0 0.28867 -0.0419249 -0.0527927
99 -28149.4 -46402.2 18252.8 0.06 0.06001 0.244949 0.244969 0.1 0 0 0.288004 -0.0408986 -0.0558064
100 -28260.2 -46402.2 18142 0.06 0.0599973 0.244949 0.244943 0.1 0 0 0.294553 -0.0405625 -0.0535904
101 -28414.5 -46402.2 17987.6 0.06 0.0599943 0.244949 0.244937 0.1 0 0 0.296565 -0.0421762 -0.0560236
102 -28515.2 -46402.2 17886.9 0.06 0.0600088 0.244949 0.244967 0.1 0 0 0.297665 -0.0418835 -0.0572157
103 -28473.9 -46402.2 17928.3 0.06 0.0600063 0.244949 0.244962 0.1 0 0 0.300774 -0.0413451 -0.0571069
104 -28552.3 -46402.2 17849.9 0.06 0.0600165 0.244949 0.244983 0.1 0 0 0.302512 -0.043094 -0.0576691
105 -28559.4 -46402.2 17842.7 0.06 0.0600007 0.244949 0.24495 0.1 0 0 0.305991 -0.0445301 -0.058334
106 -28690.6 -46402.2 17711.6 0.06 0.0600003 0.244949 0.24495 0.1 0 0 0.309311 -0.0435412 -0.060183
107 -28743.4 -46402.2 17658.8 0.06 0.0599852 0.244949 0.244919 0.1 0 0 0.314029 -0.0424914 -0.0592935
108 -28727 -46402.2 17675.2 0.06 0.0599752 0.244949 0.244898 0.1 0 0 0.313884 -0.0434423 -0.0585124
109 -28863.3 -46402.2 17538.9 0.06 0.060005 0.244949 0.244959 0.1 0 0 0.315459 -0.047602 -0.0590583
110 -29097.4 -46402.2 17304.8 0.06 0.0599971 0.244949 0.244943 0.1 0 0 0.317086 -0.0498379 -0.0591993
111 -29179.6 -46402.2 17222.6 0.06 0.0599945 0.244949 0.244938 0.1 0 0 0.320653 -0.0539582 -0.0600319
112 -29275.2 -46402.2 17127 0.06 0.0600086 0.244949 0.244966 0.1 0 0 0.323219 -0.0539024 -0.0570955
113 -29202.3 -46402.2 17199.9 0.06 0.0600032 0.244949 0.244955 0.1 0 0 0.324115 -0.0576926 -0.0568869
114 -29190 -46402.2 17212.2 0.06 0.0600019 0.244949 0.244953 0.1 0 0 0.325461 -0.0574271 -0.0563902
115 -29184.1 -46402.2 17218.1 0.06 0.0600191 0.244949 0.244988 0.1 0 0 0.325198 -0.0574793 -0.058626
116 -29254.2 -46402.2 17148 0.06 0.0600096 0.244949 0.244969 0.1 0 0 0.327613 -0.0559505 -0.0617616
117 -29225.4 -46402.2 17176.7 0.06 0.059997 0.244949 0.244943 0.1 0 0 0.328215 -0.0555782 -0.0614167
118 -29207.2 -46402.2 17195 0.06 0.0600103 0.244949 0.24497 0.1 0 0 0.328953 -0.0569166 -0.0611305
119 -29272.6 -46402.2 17129.5 0.06 0.059992 0.244949 0.244933 0.1 0 0 0.332477 -0.0548017 -0.0596419
120 -29302.8 -46402.2 17099.4 0.06 0.0599991 0.244949 0.244947 0.1 0 0 0.332695 -0.0547783 -0.0599626
121 -29424.2 -46402.2 16978 0.06 0.0600051 0.244949 0.244959 0.1 0 0 0.334913 -0.0562362 -0.0613312
122 -29481.3 -46402.2 16920.9 0.06 0.0599977 0.244949 0.244944 0.1 0 0 0.338153 -0.0559802 -0.0610762
123 -29545.6 -46402.2 16856.6 0.06 0.0600117 0.244949 0.244973 0.1 0 0 0.340551 -0.054618 -0.0603239
124 -29578.2 -46402.2 16823.9 0.06 0.0599952 0.244949 0.244939 0.1 0 0 0.343528 -0.0567483 -0.0608772
125 -29664.9 -46402.2 16737.3 0.06 0.05999 0.244949 0.244929 0.1 0 0 0.345669 -0.0583755 -0.0662325
126 -29599.6 -46402.2 16802.5 0.06 0.0599968 0.244949 0.244942 0.1 0 0 0.345511 -0.0594366 -0.0679479
127 -29688.2 -46402.2 16714 0.06 0.0600038 0.244949 0.244957 0.1 0 0 0.346492 -0.0571294 -0.0715792
128 -29759.4 -46402.2 16642.8 0.06 0.060003 0.244949 0.244955 0.1 0 0 0.351066 -0.0565138 -0.0688932
