# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1520.68 -46003.6 44482.9 0.01 0.00999784 0.1 0.0999892 0.05 0 0 0.00202491 -0.0100201 -0.00205875
2 -2745.13 -46003.6 43258.5 0.01 0.00999866 0.1 0.0999933 0.05 0 0 0.00371691 -0.0119033 -0.00261929
3 -3912.59 -46003.6 42091 0.01 0.00999676 0.1 0.0999838 0.05 0 0 0.00464336 -0.0125071 -0.00235042
4 -4974.58 -46003.6 41029 0.01 0.00999234 0.1 0.0999617 0.05 0 0 0.00609492 -0.0140047 -0.00339137
5 -6017.38 -46003.6 39986.2 0.01 0.00999334 0.1 0.0999667 0.05 0 0 0.00778328 -0.0148884 -0.00359054
6 -7013.94 -46003.6 38989.7 0.01 0.0100031 0.1 0.100015 0.05 0 0 0.00965303 -0.0167964 -0.00342599
7 -7945.91 -46003.6 38057.7 0.01 0.0100027 0.1 0.100014 0.05 0 0 0.010398 -0.0186232 -0.00433392
8 -8880.39 -46003.6 37123.2 0.01 0.00999587 0.1 0.0999793 0.05 0 0 0.0126627 -0.0203156 -0.00350823
9 -9796.47 -46003.6 36207.2 0.01 0.0100007 0.1 0.100003 0.05 0 0 0.0142838 -0.022495 -0.00487065
10 -10714.8 -46003.6 35288.9 0.01 0.00999562 0.1 0.0999781 0.05 0 0 0.0161357 -0.0244977 -0.00515347
11 -11647.9 -46003.6 34355.7 0.01 0.0100029 0.1 0.100014 0.05 0 0 0.0179377 -0.0257676 -0.00662521
12 -12572.5 -46003.6 33431.1 0.01 0.0100013 0.1 0.100006 0.05 0 0 0.0203919 -0.0286836 -0.00600203
13 -13477 -46003.6 32526.6 0.01 0.0100023 0.1 0.100012 0.05 0 0 0.0222651 -0.0307382 -0.00546535
14 -14395.5 -46003.6 31608.1 0.01 0.00999976 0.1 0.0999988 0.05 0 0 0.0237879 -0.033611 -0.00605523
15 -15319.1 -46003.6 30684.5 0.01 0.0100111 0.1 0.100056 0.05 0 0 0.0252963 -0.0360837 -0.00762958
16 -16212.8 -46003.6 29790.8 0.01 0.01 0.1 0.1 0.05 0 0 0.0276558 -0.0371993 -0.00772529
17 -17124.8 -46003.6 28878.8 0.01 0.00999931 0.1 0.0999965 0.05 0 0 0.029927 -0.0390325 -0.00704031
18 -18012.6 -46003.6 27991 0.01 0.00999901 0.1 0.099995 0.05 0 0 0.0323861 -0.0406406 -0.00775174
19 -18893.3 -46003.6 27110.3 0.01 0.00999249 0.1 0.0999625 0.05 0 0 0.0347561 -0.0436217 -0.00874298
20 -19743 -46003.6 26260.7 0.01 0.0100006 0.1 0.100003 0.05 0 0 0.0379563 -0.04505 -0.00865891
21 -20532.5 -46003.6 25471.1 0.01 0.00999571 0.1 0.0999786 0.05 0 0 0.0396182 -0.0464584 -0.00913074
22 -21367.7 -46003.6 24635.9 0.01 0.00999424 0.1 0.0999712 0.05 0 0 0.041003 -0.0473919 -0.0100963
23 -22177.5 -46003.6 23826.1 0.01 0.00999921 0.1 0.099996 0.05 0 0 0.0437122 -0.0497057 -0.0109519
24 -22940.8 -46003.6 23062.9 0.01 0.0100015 0.1 0.100007 0.05 0 0 0.0457843 -0.0521316 -0.0114941
25 -23693.5 -46003.6 22310.2 0.01 0.0100011 0.1 0.100005 0.05 0 0 0.0487071 -0.0547092 -0.0115908
26 -24417.7 -46003.6 21586 0.01 0.0100046 0.1 0.100023 0.05 0 0 0.0508663 -0.0560128 -0.011946
27 -25104.5 -46003.6 20899.1 0.01 0.0100013 0.1 0.100006 0.05 0 0 0.0527765 -0.0590316 -0.0111355
28 -25748.2 -46003.6 20255.4 0.01 0.010002 0.1 0.10001 0.05 0 0 0.0552696 -0.0618278 -0.0107638
29 -26366.2 -46003.6 19637.4 0.01 0.00999734 0.1 0.0999867 0.05 0 0 0.0577547 -0.0646378 -0.0109413
30 -26971.4 -46003.6 19032.2 0.01 0.0100087 0.1 0.100044 0.05 0 0 0.0599331 -0.0667613 -0.0109324
31 -27525.3 -46003.6 18478.3 0.01 0.010004 0.1 0.10002 0.05 0 0 0.0627468 -0.0698013 -0.010823
32 -28075.9 -46003.6 17927.8 0.01 0.0100041 0.1 0.10002 0.05 0 0 0.0644898 -0.0726067 -0.0114738
33 -28563.1 -46003.6 17440.6 0.01 0.0100089 0.1 0.100045 0.05 0 0 0.0671716 -0.0737506 -0.0118991
34 -29029 -46003.6 16974.6 0.01 0.0100081 0.1 0.100041 0.05 0 0 0.0705043 -0.0762528 -0.0127116
35 -29478.6 -46003.6 16525 0.01 0.0100061 0.1 0.10003 0.05 0 0 0.0708775 -0.0791855 -0.0121217
36 -29902.8 -46003.6 16100.8 0.01 0.00999833 0.1 0.0999917 0.05 0 0 0.0731468 -0.0807817 -0.0113294
37 -30302 -46003.6 15701.6 0.01 0.00999829 0.1 0.0999914 0.05 0 0 0.0748668 -0.0823142 -0.0117743
38 -30680.2 -46003.6 15323.4 0.01 0.0100097 0.1 0.100048 0.05 0 0 0.0768463 -0.0848688 -0.0130042
39 -31040 -46003.6 14963.6 0.01 0.00999661 0.1 0.099983 0.05 0 0 0.0787706 -0.0867535 -0.0132695
40 -31376.9 -46003.6 14626.7 0.01 0.0100059 0.1 0.10003 0.05 0 0 0.0807819 -0.0897149 -0.0139917
41 -31733.4 -46003.6 14270.2 0.01 0.009997 0.1 0.099985 0.05 0 0 0.0831293 -0.090863 -0.0132142
42 -32026.8 -46003.6 13976.8 0.01 0.0100011 0.1 0.100006 0.05 0 0 0.0850656 -0.0931867 -0.0132097
43 -32308.2 -46003.6 13695.4 0.01 0.0100009 0.1 0.100004 0.05 0 0 0.0859076 -0.0946249 -0.0126442
44 -32570.1 -46003.6 13433.5 0.01 0.00999434 0.1 0.0999717 0.05 0 0 0.0872812 -0.0968149 -0.0120947
45 -32838.5 -46003.6 13165.1 0.01 0.00999476 0.1 0.0999738 0.05 0 0 0.0882171 -0.0984182 -0.0112613
46 -33115.6 -46003.6 12888 0.01 0.00999623 0.1 0.0999811 0.05 0 0 0.0906448 -0.100359 -0.0117515
47 -33354.4 -46003.6 12649.2 0.01 0.0100035 0.1 0.100018 0.05 0 0 0.092667 -0.101276 -0.0115058
48 -33590.8 -46003.6 12412.9 0.01 0.00999592 0.1 0.0999796 0.05 0 0 0.0947004 -0.10297 -0.0116768
49 -33815.8 -46003.6 12187.8 0.01 0.0100009 0.1 0.100005 0.05 0 0 0.0966167 -0.104752 -0.0113702
50 -34052.7 -46003.6 11950.9 0.01 0.00999343 0.1 0.0999671 0.05 0 0 0.098012 -0.106153 -0.0121959
51 -34242.4 -46003.6 11761.2 0.01 0.0100081 0.1 0.100041 0.05 0 0 0.100666 -0.10726 -0.013098
52 -34456.5 -46003.6 11547.1 0.01 0.00999823 0.1 0.0999912 0.05 0 0 0.102213 -0.10802 -0.0123328
53 -34663.3 -46003.6 11340.3 0.01 0.0100006 0.1 0.100003 0.05 0 0 0.104141 -0.109627 -0.0124056
54 -34812.9 -46003.6 11190.8 0.01 0.0100007 0.1 0.100004 0.05 0 0 0.106328 -0.110814 -0.0120583
55 -34986.5 -46003.6 11017.1 0.01 0.0100005 0.1 0.100002 0.05 0 0 0.108653 -0.11296 -0.012443
56 -35148.9 -46003.6 10854.7 0.01 0.0100016 0.1 0.100008 0.05 0 0 0.109537 -0.114278 -0.0121313
57 -35314.2 -46003.6 10689.5 0.01 0.00999735 0.1 0.0999868 0.05 0 0 0.112647 -0.114919 -0.0131019
58 -35467.2 -46003.6 10536.4 0.01 0.0100019 0.1 0.10001 0.05 0 0 0.114519 -0.117184 -0.0118093
59 -35627.9 -46003.6 10375.7 0.01 0.00999803 0.1 0.0999902 0.05 0 0 0.116682 -0.118535 -0.0127229
60 -35758.8 -46003.6 10244.8 0.01 0.00999911 0.1 0.0999956 0.05 0 0 0.118227 -0.119042 -0.0123509
61 -35900.9 -46003.6 10102.8 0.01 0.0100016 0.1 0.100008 0.05 0 0 0.12064 -0.121138 -0.0123681
62 -36016.3 -46003.6 9987.3 0.01 0.00999051 0.1 0.0999526 0.05 0 0 0.1212 -0.123124 -0.0137716
63 -36139.4 -46003.6 9864.23 0.01 0.0100101 0.1 0.10005 0.05 0 0 0.123063 -0.124839 -0.0128523
64 -36271.8 -46003.6 9731.85 0.01 0.0100098 0.1 0.100049 0.05 0 0 0.124972 -0.126682 -0.013542
65 -36383.9 -46003.6 9619.77 0.01 0.00999972 0.1 0.0999986 0.05 0 0 0.126997 -0.127976 -0.0136231
66 -36475.7 -46003.6 9527.95 0.01 0.0100037 0.1 0.100018 0.05 0 0 0.129019 -0.130102 -0.0151581
67 -36572.4 -46003.6 9431.22 0.01 0.0099931 0.1 0.0999655 0.05 0 0 0.129585 -0.132216 -0.0148227
68 -36684.4 -46003.6 9319.23 0.01 0.0100103 0.1 0.100052 0.05 0 0 0.130506 -0.134534 -0.015304
69 -36769.9 -46003.6 9233.7 0.01 0.00999839 0.1 0.0999919 0.05 0 0 0.131876 -0.136984 -0.0150339
70 -36861.5 -46003.6 9142.12 0.01 0.00999944 0.1 0.0999972 0.05 0 0 0.133053 -0.138846 -0.0148799
71 -36980.1 -46003.6 9023.55 0.01 0.0100018 0.1 0.100009 0.05 0 0 0.134383 -0.140582 -0.0139372
72 -37076.8 -46003.6 8926.83 0.01 0.00999986 0.1 0.0999993 0.05 0 0 0.134869 -0.143007 -0.0140389
73 -37185.6 -46003.6 8818.04 0.01 0.00999925 0.1 0.0999963 0.05 0 0 0.13619 -0.14455 -0.0129246
74 -37306.2 -46003.6 8697.41 0.01 0.00999908 0.1 0.0999954 0.05 0 0 0.137613 -0.146277 -0.0127329
75 -37402.1 -46003.6 8601.49 0.01 0.0100047 0.1 0.100023 0.05 0 0 0.139836 -0.14741 -0.0124082
