# Iteration Energy MinEnergy Delta temp realtemp dtheta realdtheta MagneticFieldX Y Z MagnetizationX Y Z
1 -1519.47 -46077.7 44558.2 0.01 0.0100014 0.1 0.100007 0.06 0 0 0.00226162 -0.00929231 -0.00061278
2 -2768.15 -46077.7 43309.6 0.01 0.00999849 0.1 0.0999924 0.06 0 0 0.00393345 -0.0111871 -0.000434823
3 -3918.28 -46077.7 42159.4 0.01 0.0100053 0.1 0.100026 0.06 0 0 0.00471581 -0.0122609 5.43637e-05
4 -4986.55 -46077.7 41091.2 0.01 0.00999551 0.1 0.0999776 0.06 0 0 0.00551707 -0.0143797 -0.000663053
5 -6019.81 -46077.7 40057.9 0.01 0.00999531 0.1 0.0999766 0.06 0 0 0.00776652 -0.015669 -0.000357059
6 -7005.57 -46077.7 39072.1 0.01 0.00999827 0.1 0.0999913 0.06 0 0 0.00955358 -0.0176913 0.000199892
7 -7970.72 -46077.7 38107 0.01 0.00999644 0.1 0.0999822 0.06 0 0 0.010647 -0.0196749 0.000275491
8 -8919.23 -46077.7 37158.5 0.01 0.00999155 0.1 0.0999577 0.06 0 0 0.0117983 -0.0209202 -0.000179588
9 -9857.93 -46077.7 36219.8 0.01 0.010008 0.1 0.10004 0.06 0 0 0.0134334 -0.0242346 -0.00145782
10 -10780.1 -46077.7 35297.6 0.01 0.00999999 0.1 0.0999999 0.06 0 0 0.0152761 -0.0263454 -0.00105724
11 -11687.7 -46077.7 34390 0.01 0.010003 0.1 0.100015 0.06 0 0 0.0167226 -0.0288606 -0.00165852
12 -12600.6 -46077.7 33477.1 0.01 0.00999713 0.1 0.0999857 0.06 0 0 0.0179387 -0.030365 -0.00257919
13 -13515.1 -46077.7 32562.7 0.01 0.00999761 0.1 0.099988 0.06 0 0 0.0192737 -0.0326123 -0.00268348
14 -14425.5 -46077.7 31652.2 0.01 0.00999735 0.1 0.0999868 0.06 0 0 0.0214057 -0.0342 -0.00200224
15 -15354.2 -46077.7 30723.5 0.01 0.0100048 0.1 0.100024 0.06 0 0 0.0228548 -0.0371618 -0.00151279
16 -16289.3 -46077.7 29788.4 0.01 0.0100004 0.1 0.100002 0.06 0 0 0.0260441 -0.0394032 -0.00194563
17 -17206.3 -46077.7 28871.5 0.01 0.00999654 0.1 0.0999827 0.06 0 0 0.0278502 -0.0408951 -0.00226467
18 -18104 -46077.7 27973.7 0.01 0.00999751 0.1 0.0999876 0.06 0 0 0.0296448 -0.0440275 -0.00204158
19 -18978.2 -46077.7 27099.5 0.01 0.00999779 0.1 0.0999889 0.06 0 0 0.0315966 -0.0466458 -0.00215051
20 -19868.9 -46077.7 26208.8 0.01 0.00999642 0.1 0.0999821 0.06 0 0 0.0328658 -0.0487117 -0.00144639
21 -20691.2 -46077.7 25386.6 0.01 0.0100012 0.1 0.100006 0.06 0 0 0.0346725 -0.0518391 -0.00197187
22 -21526.7 -46077.7 24551 0.01 0.00999406 0.1 0.0999703 0.06 0 0 0.0365341 -0.0546878 -0.00166882
23 -22295.6 -46077.7 23782.1 0.01 0.00999646 0.1 0.0999823 0.06 0 0 0.0382857 -0.0573305 -0.000609696
24 -23070.4 -46077.7 23007.3 0.01 0.00999357 0.1 0.0999679 0.06 0 0 0.0403562 -0.0597123 0.000815758
25 -23814.5 -46077.7 22263.2 0.01 0.0100047 0.1 0.100024 0.06 0 0 0.0416163 -0.0612114 0.000635088
26 -24545.3 -46077.7 21532.4 0.01 0.00999958 0.1 0.0999979 0.06 0 0 0.0447365 -0.0645173 0.00222261
27 -25217.9 -46077.7 20859.8 0.01 0.00999422 0.1 0.0999711 0.06 0 0 0.0463796 -0.0667878 0.00295333
28 -25856.1 -46077.7 20221.6 0.01 0.00999782 0.1 0.0999891 0.06 0 0 0.0479779 -0.0686402 0.00365045
29 -26494.6 -46077.7 19583.1 0.01 0.00999545 0.1 0.0999773 0.06 0 0 0.0504209 -0.0709184 0.00382555
30 -27068.3 -46077.7 19009.4 0.01 0.00999468 0.1 0.0999734 0.06 0 0 0.0529897 -0.073429 0.00358707
31 -27608.2 -46077.7 18469.5 0.01 0.00999514 0.1 0.0999757 0.06 0 0 0.0552221 -0.0745581 0.00431228
32 -28154.7 -46077.7 17923 0.01 0.0100041 0.1 0.100021 0.06 0 0 0.0566425 -0.0760625 0.00367313
33 -28662.1 -46077.7 17415.6 0.01 0.0100008 0.1 0.100004 0.06 0 0 0.0579828 -0.0786699 0.00306788
34 -29129.2 -46077.7 16948.5 0.01 0.00999113 0.1 0.0999556 0.06 0 0 0.0603125 -0.0799711 0.00295508
35 -29531.7 -46077.7 16546 0.01 0.0100052 0.1 0.100026 0.06 0 0 0.0625023 -0.0802944 0.00272444
36 -29922.7 -46077.7 16155.1 0.01 0.00999745 0.1 0.0999872 0.06 0 0 0.0642902 -0.0818568 0.00195914
37 -30342.1 -46077.7 15735.6 0.01 0.00999532 0.1 0.0999766 0.06 0 0 0.0661967 -0.0840355 0.00222744
38 -30735.5 -46077.7 15342.2 0.01 0.0100029 0.1 0.100015 0.06 0 0 0.0681442 -0.0855692 0.00252442
39 -31107.2 -46077.7 14970.5 0.01 0.010007 0.1 0.100035 0.06 0 0 0.0695916 -0.0879035 0.0020813
40 -31476.9 -46077.7 14600.8 0.01 0.0100031 0.1 0.100016 0.06 0 0 0.0721602 -0.0898513 0.00176862
41 -31817 -46077.7 14260.7 0.01 0.00999545 0.1 0.0999773 0.06 0 0 0.0737499 -0.0909496 0.00154753
42 -32139.7 -46077.7 13938 0.01 0.00999266 0.1 0.0999633 0.06 0 0 0.0752407 -0.0931768 0.00170671
