0.01,0.01,0.193145
0.01,0.02,0.500635
0.01,0.03,0.729959
0.01,0.04,0.810695
0.01,0.05,0.903711
0.01,0.06,0.947122
0.01,0.07,0.95521
0.01,0.08,0.959374
0.01,0.09,0.960209
0.01,0.1,0.96375
0.02,0.01,-0.245435
0.02,0.02,0.532107
0.02,0.03,0.569436
0.02,0.04,0.867602
0.02,0.05,0.893816
0.02,0.06,0.906594
0.02,0.07,0.913556
0.02,0.08,0.930634
0.02,0.09,0.927867
0.02,0.1,0.933072
0.03,0.01,0.35496
0.03,0.02,0.587749
0.03,0.03,0.623813
0.03,0.04,0.80916
0.03,0.05,0.795416
0.03,0.06,0.874036
0.03,0.07,0.887316
0.03,0.08,0.875096
0.03,0.09,0.895161
0.03,0.1,0.900193
0.04,0.01,0.239998
0.04,0.02,0.399537
0.04,0.03,0.317055
0.04,0.04,0.728664
0.04,0.05,0.812082
0.04,0.06,0.836529
0.04,0.07,0.825026
0.04,0.08,0.852816
0.04,0.09,0.8591
0.04,0.1,0.859094
0.05,0.01,0.375998
0.05,0.02,0.443606
0.05,0.03,0.572869
0.05,0.04,0.715112
0.05,0.05,0.795298
0.05,0.06,0.784988
0.05,0.07,0.802597
0.05,0.08,0.811012
0.05,0.09,0.813287
0.05,0.1,0.819688
0.06,0.01,0.362159
0.06,0.02,0.321073
0.06,0.03,0.569352
0.06,0.04,0.682558
0.06,0.05,0.747309
0.06,0.06,0.758778
0.06,0.07,0.763248
0.06,0.08,0.765015
0.06,0.09,0.76092
0.06,0.1,0.779895
0.07,0.01,0.0307615
0.07,0.02,0.411364
0.07,0.03,0.566416
0.07,0.04,0.630131
0.07,0.05,0.71177
0.07,0.06,0.696731
0.07,0.07,0.705237
0.07,0.08,0.709028
0.07,0.09,0.732157
0.07,0.1,0.735278
0.08,0.01,0.0363342
0.08,0.02,0.513471
0.08,0.03,0.492736
0.08,0.04,0.619343
0.08,0.05,0.617465
0.08,0.06,0.658141
0.08,0.07,0.652441
0.08,0.08,0.667007
0.08,0.09,0.650304
0.08,0.1,0.679074
0.09,0.01,0.16564
0.09,0.02,0.389893
0.09,0.03,0.581625
0.09,0.04,0.533122
0.09,0.05,0.583155
0.09,0.06,0.598013
0.09,0.07,0.602469
0.09,0.08,0.609306
0.09,0.09,0.621714
0.09,0.1,0.625358
0.1,0.01,0.122795
0.1,0.02,0.391115
0.1,0.03,0.465626
0.1,0.04,0.483704
0.1,0.05,0.514192
0.1,0.06,0.528551
0.1,0.07,0.552869
0.1,0.08,0.552275
0.1,0.09,0.574389
0.1,0.1,0.55616
